time;position;tas;heading_angle;climb_angle;
8045.122430s;49°22'17.130753"N 3°38'39.213823"E 30000.00ft;700.0km/h;59.57°;0.00°;
8096.551002s;49°25'0.410277"N 3°45'47.927575"E 30000.00ft;700.0km/h;59.67°;0.00°;
8147.979573s;49°27'43.248410"N 3°52'57.433653"E 30000.00ft;700.0km/h;59.76°;0.00°;
8199.408144s;49°30'25.643622"N 4°0'7.732637"E 30000.00ft;700.0km/h;59.85°;0.00°;
8250.836716s;49°33'7.594384"N 4°7'18.825093"E 30000.00ft;700.0km/h;59.94°;0.00°;
8302.265287s;49°35'49.099163"N 4°14'30.711567"E 30000.00ft;700.0km/h;60.03°;0.00°;
8353.693859s;49°38'30.156421"N 4°21'43.392586"E 30000.00ft;700.0km/h;60.12°;0.00°;
8405.122430s;49°41'10.764622"N 4°28'56.868662"E 30000.00ft;700.0km/h;60.21°;0.00°;
8456.551002s;49°43'50.922222"N 4°36'11.140286"E 30000.00ft;700.0km/h;60.30°;0.00°;
8507.979573s;49°46'30.627680"N 4°43'26.207930"E 30000.00ft;700.0km/h;60.40°;0.00°;
8559.408144s;49°49'9.879449"N 4°50'42.072050"E 30000.00ft;700.0km/h;60.49°;0.00°;
8610.836716s;49°51'48.675980"N 4°57'58.733080"E 30000.00ft;700.0km/h;60.58°;0.00°;
8662.265287s;49°54'27.015723"N 5°5'16.191437"E 30000.00ft;700.0km/h;60.67°;0.00°;
8713.693859s;49°57'4.897124"N 5°12'34.447518"E 30000.00ft;700.0km/h;60.77°;0.00°;
8765.122430s;49°59'42.318628"N 5°19'53.501699"E 30000.00ft;700.0km/h;60.86°;0.00°;
8816.551002s;50°2'19.278677"N 5°27'13.354339"E 30000.00ft;700.0km/h;60.95°;0.00°;
8867.979573s;50°4'55.775711"N 5°34'34.005776"E 30000.00ft;700.0km/h;61.05°;0.00°;
8919.408144s;50°7'31.808167"N 5°41'55.456326"E 30000.00ft;700.0km/h;61.14°;0.00°;
8970.836716s;50°10'7.374481"N 5°49'17.706287"E 30000.00ft;700.0km/h;61.24°;0.00°;
9022.265287s;50°12'42.473087"N 5°56'40.755937"E 30000.00ft;700.0km/h;61.33°;0.00°;
9073.693859s;50°15'17.102414"N 6°4'4.605530"E 30000.00ft;700.0km/h;61.43°;0.00°;
9125.122430s;50°17'51.260894"N 6°11'29.255304"E 30000.00ft;700.0km/h;61.52°;0.00°;
9176.551002s;50°20'24.946952"N 6°18'54.705471"E 30000.00ft;700.0km/h;61.62°;0.00°;
