time;position;tas;heading_angle;climb_angle;
12725.12s;52°56'28.839691"N 15°22'41.293501"E 35000.00ft;698.4km/h;68.73°;0.00°;
12776.55s;52°58'25.268677"N 15°31'0.710308"E 35000.00ft;698.7km/h;68.84°;0.00°;
12827.98s;53°0'21.180844"N 15°39'21.162604"E 35000.00ft;699.1km/h;68.95°;0.00°;
12879.41s;53°2'16.585396"N 15°47'42.701167"E 35000.00ft;699.5km/h;69.07°;0.00°;
12930.84s;53°4'11.485508"N 15°56'5.351723"E 35000.00ft;700.0km/h;69.18°;0.00°;
12982.27s;53°6'5.877913"N 16°4'29.112301"E 35000.00ft;700.6km/h;69.29°;0.00°;
13033.69s;53°7'59.753053"N 16°12'53.952956"E 35000.00ft;701.0km/h;69.40°;0.00°;
13085.12s;53°9'53.095777"N 16°21'19.817964"E 35000.00ft;701.4km/h;69.51°;0.00°;
13136.55s;53°11'45.886525"N 16°29'46.630264"E 35000.00ft;701.7km/h;69.63°;0.00°;
13187.98s;53°13'38.102858"N 16°38'14.297640"E 35000.00ft;701.9km/h;69.74°;0.00°;
13239.41s;53°15'29.721154"N 16°46'42.719973"E 35000.00ft;701.9km/h;69.85°;0.00°;
13290.84s;53°17'20.718318"N 16°55'11.796790"E 35000.00ft;701.8km/h;69.97°;0.00°;
13342.27s;53°19'11.073336"N 17°3'41.434459"E 35000.00ft;701.5km/h;70.08°;0.00°;
13393.69s;53°21'0.768571"N 17°12'11.552466"E 35000.00ft;701.2km/h;70.20°;0.00°;
13445.12s;53°22'49.790738"N 17°20'42.088440"E 35000.00ft;700.8km/h;70.31°;0.00°;
