time;position_error
22240.11s;0.6840nm;
22291.54s;0.6694nm;
22342.97s;0.6563nm;
22394.40s;0.6457nm;
22445.83s;0.6380nm;
22497.26s;0.6337nm;
22548.69s;0.6330nm;
22600.11s;0.6357nm;
22651.54s;0.6415nm;
22702.97s;0.6498nm;
22754.40s;0.6599nm;
22805.83s;0.6709nm;
22857.26s;0.6817nm;
22908.69s;0.6916nm;
22960.11s;0.6995nm;
23011.54s;0.7048nm;
23062.97s;0.7069nm;
23114.40s;0.7055nm;
23165.83s;0.7006nm;
23217.26s;0.6924nm;
23268.69s;0.6813nm;
23320.11s;0.6679nm;
23371.54s;0.6530nm;
23422.97s;0.6375nm;
23474.40s;0.6225nm;
23525.83s;0.6087nm;
23577.26s;0.5971nm;
23628.69s;0.5884nm;
23680.11s;0.5830nm;
23731.54s;0.5813nm;
23782.97s;0.5831nm;
23834.40s;0.5883nm;
23885.83s;0.5963nm;
23937.26s;0.6063nm;
23988.69s;0.6176nm;
24040.11s;0.6291nm;
24091.54s;0.6398nm;
24142.97s;0.6489nm;
24194.40s;0.6554nm;
24245.83s;0.6589nm;
24297.26s;0.6589nm;
24348.69s;0.6553nm;
24400.11s;0.6482nm;
24451.54s;0.6379nm;
24502.97s;0.6250nm;
24554.40s;0.6104nm;
24605.83s;0.5948nm;
24657.26s;0.5793nm;
24708.69s;0.5648nm;
24760.11s;0.5523nm;
24811.54s;0.5425nm;
24862.97s;0.5359nm;
24914.40s;0.5331nm;
24965.83s;0.5339nm;
25017.26s;0.5384nm;
25068.69s;0.5459nm;
25120.11s;0.5558nm;
25171.54s;0.5672nm;
25222.97s;0.5792nm;
25274.40s;0.5908nm;
25325.83s;0.6009nm;
25377.26s;0.6087nm;
25428.69s;0.6135nm;
25480.11s;0.6149nm;
25531.54s;0.6126nm;
25582.97s;0.6067nm;
25634.40s;0.5974nm;
25685.83s;0.5853nm;
25737.26s;0.5710nm;
25788.69s;0.5555nm;
25840.11s;0.5397nm;
25891.54s;0.5246nm;
25942.97s;0.5111nm;
25994.40s;0.5003nm;
26045.83s;0.4926nm;
26097.26s;0.4886nm;
26148.69s;0.4884nm;
26200.11s;0.4920nm;
26251.54s;0.4989nm;
26302.97s;0.5086nm;
26354.40s;0.5201nm;
26405.83s;0.5325nm;
26457.26s;0.5447nm;
26508.69s;0.5558nm;
26560.11s;0.5649nm;
26611.54s;0.5711nm;
26662.97s;0.5739nm;
26714.40s;0.5730nm;
26765.83s;0.5684nm;
26817.26s;0.5602nm;
26868.69s;0.5490nm;
26920.11s;0.5353nm;
26971.54s;0.5200nm;
27022.97s;0.5041nm;
27074.40s;0.4886nm;
27125.83s;0.4745nm;
27177.26s;0.4626nm;
27228.69s;0.4539nm;
27280.11s;0.4488nm;
27331.54s;0.4475nm;
27382.97s;0.4502nm;
27434.40s;0.4565nm;
27485.83s;0.4657nm;
27537.26s;0.4771nm;
27588.69s;0.4898nm;
27640.11s;0.5026nm;
27691.54s;0.5146nm;
27742.97s;0.5248nm;
27794.40s;0.5323nm;
27845.83s;0.5366nm;
27897.26s;0.5372nm;
27948.69s;0.5340nm;
28000.11s;0.5272nm;
28051.54s;0.5170nm;
28102.97s;0.5041nm;
28154.40s;0.4893nm;
28205.83s;0.4736nm;
28257.26s;0.4579nm;
28308.69s;0.4433nm;
28360.11s;0.4307nm;
28411.54s;0.4211nm;
28462.97s;0.4149nm;
28514.40s;0.4126nm;
28565.83s;0.4143nm;
28617.26s;0.4198nm;
28668.69s;0.4285nm;
28720.11s;0.4396nm;
28744.35s;0.4421nm;
28795.78s;0.4383nm;
28847.20s;0.4349nm;
28898.63s;0.4320nm;
28950.06s;0.4294nm;
29001.49s;0.4271nm;
29052.92s;0.4250nm;
29104.35s;0.4228nm;
29155.78s;0.4208nm;
29207.20s;0.4188nm;
29258.63s;0.4172nm;
29310.06s;0.4160nm;
29361.49s;0.4155nm;
29412.92s;0.4156nm;
29464.35s;0.4163nm;
29515.78s;0.4174nm;
29567.20s;0.4183nm;
29618.63s;0.4187nm;
29670.06s;0.4183nm;
29721.49s;0.4168nm;
29772.92s;0.4141nm;
29824.35s;0.4103nm;
29875.78s;0.4057nm;
29927.20s;0.4007nm;
29978.63s;0.3957nm;
30030.06s;0.3910nm;
30081.49s;0.3868nm;
30132.92s;0.3832nm;
30184.35s;0.3802nm;
30235.78s;0.3775nm;
30287.20s;0.3753nm;
30338.63s;0.3733nm;
30390.06s;0.3718nm;
30441.49s;0.3709nm;
30492.92s;0.3706nm;
30544.35s;0.3712nm;
30595.78s;0.3726nm;
30647.20s;0.3748nm;
30698.63s;0.3773nm;
30750.06s;0.3797nm;
30801.49s;0.3815nm;
30852.92s;0.3822nm;
30904.35s;0.3814nm;
30955.78s;0.3790nm;
31007.20s;0.3751nm;
31058.63s;0.3700nm;
31110.06s;0.3640nm;
31161.49s;0.3576nm;
31212.92s;0.3514nm;
31264.35s;0.3457nm;
31315.78s;0.3407nm;
31367.20s;0.3365nm;
31418.63s;0.3331nm;
