time;position;tas;heading_angle;climb_angle;
7354.29s;48°42'17.943030"N 2°7'8.388051"E 34999.88ft;705.1km/h;43.32°;0.00°;
7405.71s;48°46'14.815404"N 2°12'48.142184"E 34999.88ft;706.2km/h;43.41°;0.00°;
7457.14s;48°50'11.534260"N 2°18'29.260713"E 34999.89ft;706.8km/h;43.50°;0.00°;
7479.41s;48°51'53.775721"N 2°20'57.529002"E 34999.90ft;707.0km/h;43.66°;0.00°;
Switched destination to waypoint 3
7530.84s;48°54'43.335969"N 2°28'1.401746"E 33928.47ft;706.9km/h;58.68°;-1.85°;
7582.27s;48°57'32.353178"N 2°35'5.796135"E 32933.58ft;706.4km/h;58.77°;-1.72°;
7633.69s;49°0'20.714867"N 2°42'10.429284"E 32009.76ft;705.4km/h;58.86°;-1.60°;
7685.12s;49°3'8.327269"N 2°49'15.060690"E 31151.92ft;704.0km/h;58.95°;-1.49°;
7736.55s;49°5'55.121690"N 2°56'19.509378"E 30355.35ft;702.3km/h;59.04°;-1.39°;
7787.98s;49°8'41.059044"N 3°3'23.666877"E 29615.68ft;700.4km/h;59.13°;-1.29°;
7839.41s;49°11'26.132253"N 3°10'27.505040"E 28928.85ft;698.6km/h;59.22°;-1.20°;
7890.84s;49°14'10.366355"N 3°17'31.078138"E 28291.07ft;696.8km/h;59.31°;-1.12°;
7942.27s;49°16'53.816315"N 3°24'34.519033"E 27698.85ft;695.3km/h;59.40°;-1.04°;
7993.69s;49°19'36.562701"N 3°31'38.029683"E 27148.94ft;694.1km/h;59.49°;-0.97°;
8045.12s;49°22'18.705561"N 3°38'41.866656"E 26638.30ft;693.3km/h;59.58°;-0.90°;
8096.55s;49°25'0.356929"N 3°45'46.322655"E 26164.13ft;693.0km/h;59.67°;-0.84°;
8147.98s;49°27'41.632524"N 3°52'51.705394"E 25723.84ft;693.2km/h;59.76°;-0.78°;
8199.41s;49°30'22.643225"N 3°59'58.315326"E 25314.99ft;693.9km/h;59.85°;-0.72°;
8250.84s;49°33'3.486947"N 4°7'6.423839"E 24935.35ft;695.1km/h;59.94°;-0.67°;
8302.27s;49°35'44.241501"N 4°14'16.253479"E 24582.83ft;696.6km/h;60.03°;-0.62°;
8353.69s;49°38'24.958940"N 4°21'27.961641"E 24255.48ft;698.3km/h;60.12°;-0.57°;
8405.12s;49°41'5.661798"N 4°28'41.628917"E 23951.52ft;700.2km/h;60.21°;-0.53°;
8456.55s;49°43'46.341483"N 4°35'57.252951"E 23669.27ft;702.0km/h;60.30°;-0.49°;
8507.98s;49°46'26.958924"N 4°43'14.748265"E 23407.18ft;703.8km/h;60.39°;-0.46°;
8559.41s;49°49'7.447418"N 4°50'33.952091"E 23163.81ft;705.2km/h;60.49°;-0.42°;
8610.84s;49°51'47.717456"N 4°57'54.635807"E 22937.82ft;706.3km/h;60.58°;-0.39°;
8662.27s;49°54'27.663168"N 5°5'16.521182"E 22727.98ft;706.9km/h;60.67°;-0.36°;
8713.69s;49°57'7.169912"N 5°12'39.300261"E 22533.12ft;707.0km/h;60.77°;-0.34°;
8765.12s;49°59'46.122450"N 5°20'2.657484"E 22352.18ft;706.6km/h;60.86°;-0.31°;
8816.55s;50°2'24.413123"N 5°27'26.292437"E 22184.17ft;705.7km/h;60.96°;-0.29°;
8867.98s;50°5'1.949429"N 5°34'49.941607"E 22028.16ft;704.5km/h;61.05°;-0.27°;
8919.41s;50°7'38.660466"N 5°42'13.397545"E 21883.29ft;702.9km/h;61.15°;-0.25°;
8970.84s;50°10'14.501779"N 5°49'36.524066"E 21748.77ft;701.1km/h;61.24°;-0.23°;
9022.27s;50°12'49.458281"N 5°56'59.266340"E 21623.86ft;699.2km/h;61.34°;-0.22°;
9073.69s;50°15'23.545034"N 6°4'21.655154"E 21507.87ft;697.4km/h;61.43°;-0.20°;
9125.12s;50°17'56.805870"N 6°11'43.804992"E 21400.16ft;695.7km/h;61.52°;-0.19°;
9176.55s;50°20'29.309939"N 6°19'5.906064"E 21300.15ft;694.4km/h;61.62°;-0.18°;
9227.98s;50°23'1.146463"N 6°26'28.210829"E 21207.28ft;693.5km/h;61.71°;-0.16°;
9279.41s;50°25'32.418075"N 6°33'51.015977"E 21121.05ft;693.0km/h;61.81°;-0.15°;
9330.84s;50°28'3.233232"N 6°41'14.641146"E 21040.97ft;693.1km/h;61.90°;-0.14°;
9382.27s;50°30'33.698253"N 6°48'39.405920"E 20966.62ft;693.6km/h;62.00°;-0.13°;
9433.69s;50°33'3.909558"N 6°56'5.606738"E 20897.57ft;694.6km/h;62.09°;-0.12°;
9485.12s;50°35'33.946667"N 7°3'33.495408"E 20833.46ft;696.0km/h;62.19°;-0.11°;
9536.55s;50°38'3.866454"N 7°11'3.260759"E 20773.93ft;697.7km/h;62.29°;-0.10°;
9587.98s;50°40'33.699077"N 7°18'35.014786"E 20718.65ft;699.6km/h;62.38°;-0.10°;
9639.41s;50°43'3.445852"N 7°26'8.784280"E 20667.32ft;701.4km/h;62.48°;-0.09°;
9690.84s;50°45'33.079225"N 7°33'44.508589"E 20619.65ft;703.2km/h;62.58°;-0.08°;
9742.27s;50°48'2.544826"N 7°41'22.043675"E 20575.39ft;704.7km/h;62.68°;-0.08°;
9793.69s;50°50'31.765443"N 7°49'1.172204"E 20534.29ft;705.9km/h;62.78°;-0.07°;
9845.12s;50°53'0.646621"N 7°56'41.618967"E 20496.13ft;706.7km/h;62.87°;-0.07°;
9896.55s;50°55'29.083459"N 8°4'23.070533"E 20460.69ft;707.0km/h;62.97°;-0.06°;
9947.98s;50°57'56.968124"N 8°12'5.197733"E 20427.78ft;706.8km/h;63.07°;-0.06°;
9999.41s;51°0'24.197517"N 8°19'47.679365"E 20397.23ft;706.1km/h;63.17°;-0.05°;
10050.84s;51°2'50.680542"N 8°27'30.225413"E 20368.85ft;704.9km/h;63.27°;-0.05°;
10102.27s;51°5'16.344465"N 8°35'12.598091"E 20342.51ft;703.4km/h;63.37°;-0.05°;
10153.69s;51°7'41.139905"N 8°42'54.629194"E 20318.04ft;701.7km/h;63.47°;-0.04°;
10205.12s;51°10'5.044102"N 8°50'36.232477"E 20295.32ft;699.8km/h;63.57°;-0.04°;
10256.55s;51°12'28.062256"N 8°58'17.410153"E 20274.23ft;698.0km/h;63.67°;-0.04°;
10307.98s;51°14'50.226840"N 9°5'58.253020"E 20254.64ft;696.2km/h;63.77°;-0.03°;
10359.41s;51°17'11.594956"N 9°13'38.934182"E 20236.45ft;694.8km/h;63.87°;-0.03°;
10410.84s;51°19'32.243938"N 9°21'19.696796"E 20219.56ft;693.7km/h;63.97°;-0.03°;
10462.27s;51°21'52.265534"N 9°29'0.836715"E 20203.88ft;693.1km/h;64.07°;-0.03°;
10513.69s;51°24'11.759079"N 9°36'42.681266"E 20189.32ft;693.0km/h;64.18°;-0.03°;
10565.12s;51°26'30.824181"N 9°44'25.565682"E 20175.80ft;693.4km/h;64.28°;-0.02°;
10616.55s;51°28'49.553430"N 9°52'9.808880"E 20163.24ft;694.3km/h;64.38°;-0.02°;
10667.98s;51°31'8.025661"N 9°59'55.690344"E 20151.58ft;695.5km/h;64.48°;-0.02°;
10719.41s;51°33'26.300261"N 10°7'43.429778"E 20140.75ft;697.1km/h;64.58°;-0.02°;
10770.84s;51°35'44.412910"N 10°15'33.170996"E 20130.70ft;698.9km/h;64.68°;-0.02°;
10822.27s;51°38'2.373070"N 10°23'24.971253"E 20121.36ft;700.8km/h;64.78°;-0.02°;
10873.69s;51°40'20.163380"N 10°31'18.796769"E 20112.69ft;702.6km/h;64.89°;-0.02°;
10925.12s;51°42'37.740988"N 10°39'14.524817"E 20104.64ft;704.3km/h;64.99°;-0.01°;
10976.55s;51°44'55.040719"N 10°47'11.952237"E 20097.17ft;705.6km/h;65.09°;-0.01°;
11027.98s;51°47'11.979826"N 10°55'10.809781"E 20090.23ft;706.5km/h;65.20°;-0.01°;
11079.41s;51°49'28.463969"N 11°3'10.781278"E 20083.78ft;707.0km/h;65.30°;-0.01°;
11130.84s;51°51'44.393988"N 11°11'11.526260"E 20077.80ft;706.9km/h;65.41°;-0.01°;
11182.27s;51°53'59.672962"N 11°19'12.704409"E 20072.24ft;706.4km/h;65.51°;-0.01°;
11233.69s;51°56'14.213054"N 11°27'14.000088"E 20067.08ft;705.4km/h;65.62°;-0.01°;
11285.12s;51°58'27.941643"N 11°35'15.145172"E 20062.29ft;704.0km/h;65.72°;-0.01°;
11336.55s;52°0'40.806305"N 11°43'15.938517"E 20057.84ft;702.3km/h;65.83°;-0.01°;
11387.98s;52°2'52.778311"N 11°51'16.260655"E 20053.71ft;700.4km/h;65.94°;-0.01°;
11439.41s;52°5'3.854373"N 11°59'16.082642"E 20049.87ft;698.6km/h;66.04°;-0.01°;
11490.84s;52°7'14.056565"N 12°7'15.468375"E 20046.31ft;696.8km/h;66.15°;-0.01°;
11542.27s;52°9'23.430405"N 12°15'14.570212"E 20043.00ft;695.3km/h;66.25°;-0.01°;
11593.69s;52°11'32.041274"N 12°23'13.618186"E 20039.93ft;694.1km/h;66.36°;-0.01°;
11645.12s;52°13'39.969437"N 12°31'12.903557"E 20037.08ft;693.3km/h;66.46°;-0.01°;
11696.55s;52°15'47.304023"N 12°39'12.757894"E 20034.43ft;693.0km/h;66.57°;-0.00°;
11747.98s;52°17'54.136427"N 12°47'13.529180"E 20031.97ft;693.2km/h;66.67°;-0.00°;
