time;position;tas;heading_angle;climb_angle;
8096.55s;49°24'51.022699"N 3°45'30.956869"E 26164.13ft;693.0km/h;59.66°;-0.84°;
8147.98s;49°27'33.953164"N 3°52'40.590787"E 25723.84ft;693.2km/h;59.75°;-0.78°;
8199.41s;49°30'16.559290"N 3°59'51.333219"E 25314.99ft;693.9km/h;59.84°;-0.72°;
8250.84s;49°32'58.826255"N 4°7'3.153683"E 24935.35ft;695.1km/h;59.93°;-0.67°;
8302.27s;49°35'40.732133"N 4°14'16.002110"E 24582.83ft;696.6km/h;60.02°;-0.62°;
8353.69s;49°38'22.249364"N 4°21'29.812328"E 24255.48ft;698.3km/h;60.12°;-0.57°;
8405.12s;49°41'3.346613"N 4°28'44.506725"E 23951.52ft;700.2km/h;60.21°;-0.53°;
8456.55s;49°43'43.990910"N 4°36'0.001771"E 23669.27ft;702.0km/h;60.30°;-0.49°;
8507.98s;49°46'24.149885"N 4°43'16.213994"E 23407.18ft;703.8km/h;60.39°;-0.46°;
8559.41s;49°49'3.793960"N 4°50'33.065975"E 23163.81ft;705.2km/h;60.48°;-0.42°;
8610.84s;49°51'42.898326"N 4°57'50.491939"E 22937.82ft;706.3km/h;60.58°;-0.39°;
8662.27s;49°54'21.444571"N 5°5'8.442532"E 22727.98ft;706.9km/h;60.67°;-0.36°;
8713.69s;49°56'59.421835"N 5°12'26.888426"E 22533.12ft;707.0km/h;60.76°;-0.34°;
8765.12s;49°59'36.827421"N 5°19'45.822496"E 22352.18ft;706.6km/h;60.86°;-0.31°;
8816.55s;50°2'13.666815"N 5°27'5.260412"E 22184.17ft;705.7km/h;60.95°;-0.29°;
8867.98s;50°4'49.953117"N 5°34'25.239576"E 22028.16ft;704.5km/h;61.04°;-0.27°;
8919.41s;50°7'25.705925"N 5°41'45.816494"E 21883.29ft;702.9km/h;61.14°;-0.25°;
8970.84s;50°10'0.949768"N 5°49'7.062763"E 21748.77ft;701.1km/h;61.23°;-0.23°;
9022.27s;50°12'35.712179"N 5°56'29.059944"E 21623.86ft;699.2km/h;61.33°;-0.22°;
9073.69s;50°15'10.021580"N 6°3'51.893710"E 21507.87ft;697.4km/h;61.42°;-0.20°;
9125.12s;50°17'43.905105"N 6°11'15.647664"E 21400.16ft;695.7km/h;61.52°;-0.19°;
9176.55s;50°20'17.386533"N 6°18'40.397298"E 21300.15ft;694.4km/h;61.61°;-0.18°;
9227.98s;50°22'50.484476"N 6°26'6.204502"E 21207.28ft;693.5km/h;61.71°;-0.16°;
9279.41s;50°25'23.210953"N 6°33'33.113048"E 21121.05ft;693.0km/h;61.80°;-0.15°;
