time;position;tas;heading_angle;climb_angle;
9382.27s;50°30'28.939421"N 6°48'34.380798"E 20966.62ft;700.0km/h;62.00°;-0.13°;
9433.69s;50°33'0.324702"N 6°56'3.996024"E 20897.57ft;700.0km/h;62.09°;-0.12°;
9485.12s;50°35'31.228279"N 7°3'34.414790"E 20833.46ft;700.0km/h;62.19°;-0.11°;
9536.55s;50°38'1.648515"N 7°11'5.637044"E 20773.93ft;700.0km/h;62.28°;-0.10°;
9587.98s;50°40'31.583778"N 7°18'37.662717"E 20718.65ft;700.0km/h;62.38°;-0.10°;
9639.41s;50°43'1.032437"N 7°26'10.491728"E 20667.32ft;700.0km/h;62.48°;-0.09°;
9690.84s;50°45'29.992863"N 7°33'44.123981"E 20619.65ft;700.0km/h;62.58°;-0.08°;
9742.27s;50°47'58.463429"N 7°41'18.559361"E 20575.39ft;700.0km/h;62.67°;-0.08°;
9793.69s;50°50'26.442506"N 7°48'53.797740"E 20534.29ft;700.0km/h;62.77°;-0.07°;
9845.12s;50°52'53.928471"N 7°56'29.838970"E 20496.13ft;700.0km/h;62.87°;-0.07°;
9896.55s;50°55'20.919697"N 8°4'6.682885"E 20460.69ft;700.0km/h;62.97°;-0.06°;
9947.98s;50°57'47.414561"N 8°11'44.329301"E 20427.78ft;700.0km/h;63.07°;-0.06°;
9999.41s;51°0'13.411439"N 8°19'22.778013"E 20397.23ft;700.0km/h;63.17°;-0.05°;
10050.84s;51°2'38.908708"N 8°27'2.028798"E 20368.85ft;700.0km/h;63.27°;-0.05°;
10102.27s;51°5'3.904744"N 8°34'42.081410"E 20342.51ft;700.0km/h;63.37°;-0.05°;
10153.69s;51°7'28.397926"N 8°42'22.935584"E 20318.04ft;700.0km/h;63.47°;-0.04°;
10205.12s;51°9'52.386630"N 8°50'4.591032"E 20295.32ft;700.0km/h;63.57°;-0.04°;
10256.55s;51°12'15.869235"N 8°57'47.047444"E 20274.23ft;700.0km/h;63.67°;-0.04°;
10307.98s;51°14'38.844119"N 9°5'30.304488"E 20254.64ft;700.0km/h;63.77°;-0.03°;
10359.41s;51°17'1.309658"N 9°13'14.361809"E 20236.45ft;700.0km/h;63.87°;-0.03°;
10410.84s;51°19'23.264232"N 9°20'59.219029"E 20219.56ft;700.0km/h;63.97°;-0.03°;
10462.27s;51°21'44.706217"N 9°28'44.875745"E 20203.88ft;700.0km/h;64.07°;-0.03°;
10513.69s;51°24'5.633992"N 9°36'31.331533"E 20189.32ft;700.0km/h;64.17°;-0.03°;
10565.12s;51°26'26.045935"N 9°44'18.585942"E 20175.80ft;700.0km/h;64.27°;-0.02°;
10616.55s;51°28'45.940423"N 9°52'6.638496"E 20163.24ft;700.0km/h;64.37°;-0.02°;
10667.98s;51°31'5.315834"N 9°59'55.488696"E 20151.58ft;700.0km/h;64.47°;-0.02°;
10719.41s;51°33'24.170546"N 10°7'45.136017"E 20140.75ft;700.0km/h;64.58°;-0.02°;
10770.84s;51°35'42.502937"N 10°15'35.579908"E 20130.70ft;700.0km/h;64.68°;-0.02°;
10822.27s;51°38'0.311383"N 10°23'26.819792"E 20121.36ft;700.0km/h;64.78°;-0.02°;
10873.69s;51°40'17.594264"N 10°31'18.855066"E 20112.69ft;700.0km/h;64.88°;-0.02°;
10925.12s;51°42'34.349956"N 10°39'11.685101"E 20104.64ft;700.0km/h;64.99°;-0.01°;
10976.55s;51°44'50.576838"N 10°47'5.309241"E 20097.17ft;700.0km/h;65.09°;-0.01°;
11027.98s;51°47'6.273287"N 10°54'59.726804"E 20090.23ft;700.0km/h;65.19°;-0.01°;
11079.41s;51°49'21.437681"N 11°2'54.937078"E 20083.78ft;700.0km/h;65.30°;-0.01°;
11130.84s;51°51'36.068399"N 11°10'50.939327"E 20077.80ft;700.0km/h;65.40°;-0.01°;
11182.27s;51°53'50.163819"N 11°18'47.732786"E 20072.24ft;700.0km/h;65.51°;-0.01°;
11233.69s;51°56'3.722319"N 11°26'45.316661"E 20067.08ft;700.0km/h;65.61°;-0.01°;
11285.12s;51°58'16.742279"N 11°34'43.690130"E 20062.29ft;700.0km/h;65.72°;-0.01°;
11336.55s;52°0'29.222077"N 11°42'42.852346"E 20057.84ft;700.0km/h;65.82°;-0.01°;
11387.98s;52°2'41.160093"N 11°50'42.802428"E 20053.71ft;700.0km/h;65.93°;-0.01°;
11439.41s;52°4'52.554707"N 11°58'43.539471"E 20049.87ft;700.0km/h;66.03°;-0.01°;
11490.84s;52°7'3.404300"N 12°6'45.062539"E 20046.31ft;700.0km/h;66.14°;-0.01°;
11542.27s;52°9'13.707252"N 12°14'47.370665"E 20043.00ft;700.0km/h;66.24°;-0.01°;
11593.69s;52°11'23.461945"N 12°22'50.462857"E 20039.93ft;700.0km/h;66.35°;-0.01°;
11645.12s;52°13'32.666761"N 12°30'54.338089"E 20037.08ft;700.0km/h;66.46°;-0.00°;
11696.55s;52°15'41.320083"N 12°38'58.995308"E 20034.43ft;700.0km/h;66.56°;-0.00°;
11747.98s;52°17'49.420293"N 12°47'4.433430"E 20031.97ft;700.0km/h;66.67°;-0.00°;
11799.41s;52°19'56.965777"N 12°55'10.651341"E 20029.69ft;700.0km/h;66.78°;-0.00°;
11850.84s;52°22'3.954920"N 13°3'17.647896"E 20027.57ft;700.0km/h;66.88°;-0.00°;
11902.27s;52°24'10.386107"N 13°11'25.421921"E 20025.60ft;700.0km/h;66.99°;-0.00°;
11953.69s;52°26'16.257725"N 13°19'33.972209"E 20023.77ft;700.0km/h;67.10°;-0.00°;
12005.12s;52°28'21.568163"N 13°27'43.297525"E 20022.07ft;700.0km/h;67.21°;-0.00°;
12056.55s;52°30'26.315808"N 13°35'53.396601"E 20020.50ft;700.0km/h;67.31°;-0.00°;
12107.98s;52°32'30.499053"N 13°44'4.268137"E 20019.03ft;700.0km/h;67.42°;-0.00°;
12159.41s;52°34'34.116287"N 13°52'15.910804"E 20017.67ft;700.0km/h;67.53°;-0.00°;
12210.84s;52°36'37.165903"N 14°0'28.323240"E 20016.41ft;700.0km/h;67.64°;-0.00°;
12262.27s;52°38'39.646296"N 14°8'41.504052"E 20015.24ft;700.0km/h;67.75°;-0.00°;
12313.69s;52°40'41.555860"N 14°16'55.451814"E 20014.15ft;700.0km/h;67.86°;-0.00°;
