time;position_error
26611.54s;0.0483nm;
26662.97s;0.0530nm;
26714.40s;0.0538nm;
26765.83s;0.0508nm;
26817.26s;0.0441nm;
26868.69s;0.0343nm;
26920.11s;0.0219nm;
26971.54s;0.0080nm;
27022.97s;0.0065nm;
27074.40s;0.0205nm;
27125.83s;0.0331nm;
27177.26s;0.0432nm;
27228.69s;0.0503nm;
27280.11s;0.0537nm;
27331.54s;0.0533nm;
27382.97s;0.0490nm;
27434.40s;0.0412nm;
27485.83s;0.0304nm;
27537.26s;0.0174nm;
27588.69s;0.0032nm;
27640.11s;0.0113nm;
27691.54s;0.0249nm;
27742.97s;0.0367nm;
27794.40s;0.0459nm;
27845.83s;0.0518nm;
27897.26s;0.0540nm;
27948.69s;0.0522nm;
28000.11s;0.0467nm;
28051.54s;0.0379nm;
28102.97s;0.0263nm;
28154.40s;0.0128nm;
28205.83s;0.0016nm;
28257.26s;0.0159nm;
28308.69s;0.0291nm;
28360.11s;0.0401nm;
28411.54s;0.0483nm;
28462.97s;0.0530nm;
28514.40s;0.0538nm;
28565.83s;0.0508nm;
28617.26s;0.0441nm;
28668.69s;0.0343nm;
28720.11s;0.0219nm;
28744.35s;0.0073nm;
28795.78s;0.0012nm;
28847.20s;0.0132nm;
28898.63s;0.0267nm;
28950.06s;0.0382nm;
29001.49s;0.0470nm;
29052.92s;0.0524nm;
29104.35s;0.0540nm;
29155.78s;0.0517nm;
29207.20s;0.0457nm;
29258.63s;0.0364nm;
29310.06s;0.0245nm;
29361.49s;0.0108nm;
29412.92s;0.0036nm;
29464.35s;0.0178nm;
29515.78s;0.0308nm;
29567.20s;0.0415nm;
29618.63s;0.0492nm;
29670.06s;0.0533nm;
29721.49s;0.0537nm;
29772.92s;0.0501nm;
29824.35s;0.0429nm;
29875.78s;0.0327nm;
29927.20s;0.0201nm;
29978.63s;0.0060nm;
30030.06s;0.0085nm;
30081.49s;0.0223nm;
30132.92s;0.0346nm;
30184.35s;0.0444nm;
30235.78s;0.0510nm;
30287.20s;0.0539nm;
30338.63s;0.0529nm;
30390.06s;0.0481nm;
